Date,Spain,Andalucía,Aragón,Principado de Asturias,Castilla y León,Castilla-La Mancha,Canarias,Catalunya,Galicia,Illes Balears,Región de Murcia,Comunidad de Madrid,País Vasco,Comunidad Valenciana
2011-06-19,4,4,5,7,8,7,5,4,9,6,4,5,4,3
2011-06-26,3,2,5,6,7,7,4,3,8,6,4,4,4,3
2011-07-03,2,2,4,6,7,7,5,3,8,5,4,2,4,2
2011-07-10,3,2,4,5,6,8,5,2,7,5,4,2,4,2
2011-07-17,2,2,4,5,6,7,5,2,8,5,3,2,4,2
2011-07-24,2,2,4,4,5,8,4,2,8,5,3,2,3,2
2011-07-31,3,2,3,4,5,6,4,3,7,5,3,2,3,2
2011-08-07,2,2,3,4,5,6,4,3,7,5,2,2,4,2
2011-08-14,3,2,3,4,5,5,4,4,8,5,2,3,4,2
2011-08-21,4,2,3,3,4,5,3,4,8,5,2,4,4,2
2011-08-28,3,2,3,3,4,5,3,5,8,4,2,4,3,2
2011-09-04,4,3,3,3,4,4,3,5,9,5,2,4,3,2
2011-09-11,4,3,3,3,4,4,2,4,9,4,2,4,4,3
2011-09-18,5,3,3,3,4,3,3,6,9,4,2,6,5,3
2011-09-25,11,4,3,3,4,3,3,12,10,4,2,15,6,6
2011-10-02,14,9,4,3,4,3,3,23,10,4,2,18,8,10
2011-10-09,13,9,4,4,4,3,3,16,11,5,2,23,10,9
2011-10-16,19,9,6,6,4,4,3,20,20,6,2,32,17,8
2011-10-23,15,11,8,8,5,5,4,11,24,6,4,21,23,8
2011-10-30,14,8,10,10,6,5,6,17,23,6,6,25,21,10
2011-11-06,16,8,20,15,8,6,8,24,27,6,6,21,20,10
2011-11-13,16,8,21,15,8,7,11,23,27,8,10,23,20,10
2011-11-20,18,7,20,15,11,9,17,21,27,8,10,28,23,10
2011-11-27,19,6,19,15,13,11,18,18,34,8,10,31,22,12
2011-12-04,21,9,19,16,15,11,18,32,32,8,10,38,22,14
2011-12-11,22,9,16,16,17,11,19,26,32,9,12,40,21,14
2011-12-18,18,7,15,16,19,10,19,24,29,10,10,37,23,10
2011-12-25,45,13,15,21,21,14,28,31,35,11,11,98,28,15
2012-01-01,53,29,16,24,23,17,20,42,45,13,12,125,32,28
2012-01-08,57,20,16,29,28,19,27,49,60,15,14,130,42,35
2012-01-15,49,29,19,35,31,31,27,53,63,19,16,79,62,26
2012-01-22,77,49,33,52,44,82,30,57,65,25,25,89,102,54
2012-01-29,90,75,43,74,57,112,31,103,95,28,41,76,161,55
2012-02-05,155,112,51,130,77,147,44,205,230,35,69,100,217,194
2012-02-12,206,182,83,180,82,121,64,377,273,43,147,104,203,334
2012-02-19,181,181,98,147,98,78,108,361,250,68,177,120,207,204
2012-02-26,87,65,112,117,93,64,80,169,187,77,131,73,171,87
2012-03-04,37,20,88,90,82,49,80,62,112,76,98,45,115,31
2012-03-11,33,12,68,65,67,34,64,53,78,68,66,49,90,17
2012-03-18,26,11,58,57,56,26,42,29,50,55,43,39,61,14
2012-03-25,25,12,44,43,48,22,28,24,41,49,31,38,41,14
2012-04-01,22,10,36,38,48,22,24,20,46,41,23,32,39,18
2012-04-08,18,18,27,29,38,19,18,20,38,30,17,24,43,17
2012-04-15,20,14,26,29,31,19,17,21,43,25,13,27,35,14
2012-04-22,21,10,26,30,26,16,15,29,41,22,11,26,28,13
2012-04-29,24,9,24,28,26,20,14,23,45,19,10,33,22,13
2012-05-06,21,11,25,23,27,17,16,23,50,16,8,26,24,15
2012-05-13,18,10,24,20,27,17,16,25,34,14,8,25,19,14
2012-05-20,16,13,23,20,25,14,14,15,35,13,8,21,18,16
2012-05-27,15,16,21,21,23,13,12,18,27,12,7,24,17,14
2012-06-03,13,10,18,21,18,13,13,10,22,12,7,20,21,10
2012-06-10,14,8,17,19,19,10,12,10,27,14,8,21,19,9
2012-06-17,10,8,15,16,20,9,11,8,24,14,7,16,18,9
2012-06-24,10,6,14,14,20,9,9,15,22,13,6,12,19,7
2012-07-01,10,7,12,14,17,8,8,13,22,12,7,15,17,6
2012-07-08,9,9,11,12,16,8,8,9,19,12,7,13,14,8
2012-07-15,9,7,10,11,16,7,8,6,19,12,6,15,15,9
2012-07-22,9,5,10,11,15,6,8,10,20,12,6,14,15,9
2012-07-29,10,5,10,10,14,6,8,11,18,12,6,14,13,9
2012-08-05,11,6,9,9,13,6,7,14,20,13,5,16,12,11
2012-08-12,12,7,9,8,12,6,7,13,24,11,6,12,13,10
2012-08-19,13,6,9,9,12,7,7,19,29,11,6,17,14,11
2012-08-26,13,5,9,9,12,8,7,13,31,11,6,17,19,9
2012-09-02,12,6,9,9,12,8,7,15,35,10,6,17,17,8
2012-09-09,14,10,9,9,12,8,9,11,27,9,6,23,20,13
2012-09-16,18,10,10,9,11,9,9,14,25,10,6,37,28,23
2012-09-23,21,9,9,11,11,10,13,27,25,10,6,32,28,22
2012-09-30,34,19,10,13,11,13,15,28,31,10,7,54,35,27
2012-10-07,43,30,12,16,10,19,20,31,43,10,7,60,49,24
2012-10-14,35,28,15,17,11,26,24,27,53,11,8,55,54,26
2012-10-21,23,12,15,16,12,22,32,17,54,12,9,37,61,18
2012-10-28,25,10,17,20,14,19,26,24,56,17,10,45,54,17
2012-11-04,24,9,21,36,17,19,26,19,54,17,11,40,51,17
2012-11-11,26,12,20,28,25,16,24,36,60,19,16,34,55,12
2012-11-18,21,8,22,20,27,13,21,31,57,17,16,27,38,11
2012-11-25,26,15,18,18,28,11,20,25,54,15,15,40,53,15
2012-12-02,29,17,20,16,29,10,22,32,43,14,16,38,54,22
2012-12-09,32,16,20,17,33,11,23,38,39,15,15,40,62,26
2012-12-16,29,16,19,19,27,11,27,36,33,14,14,44,49,16
2012-12-23,54,28,22,22,32,12,23,76,42,22,16,82,59,19
2012-12-30,78,37,25,31,33,14,23,91,65,24,19,132,78,49
2013-01-06,80,37,40,60,69,31,27,75,65,26,27,103,111,67
2013-01-13,81,40,61,104,62,39,31,164,77,21,30,90,97,75
2013-01-20,99,34,108,179,55,57,48,277,57,32,41,98,104,119
2013-01-27,169,55,353,262,36,53,68,482,49,42,56,154,123,205
2013-02-03,183,64,325,259,33,58,88,373,63,65,93,195,161,255
2013-02-10,266,93,213,194,58,123,104,414,101,151,246,320,179,350
2013-02-17,258,141,136,137,120,212,152,280,124,212,318,382,297,267
2013-02-24,157,94,132,111,116,136,115,121,206,237,236,261,313,124
2013-03-03,168,84,116,108,136,109,75,141,224,261,151,291,305,66
2013-03-10,80,47,81,81,138,79,48,59,232,190,94,119,324,54
2013-03-17,66,34,70,65,113,66,33,64,237,133,61,98,214,38
2013-03-24,46,33,56,47,84,52,26,46,229,98,42,56,177,32
2013-03-31,32,23,49,39,61,47,21,28,151,62,31,39,100,27
2013-04-07,27,19,47,33,44,30,18,34,126,40,23,25,69,14
2013-04-14,22,26,43,30,31,26,15,26,80,30,15,26,52,9
2013-04-21,21,18,44,27,32,20,18,19,60,23,12,26,33,13
2013-04-28,18,14,38,25,22,16,16,26,48,19,11,21,32,14
2013-05-05,22,15,32,30,24,15,15,25,36,19,10,26,31,14
2013-05-12,14,12,26,27,20,12,15,21,27,15,9,15,25,13
2013-05-19,17,10,26,26,31,12,13,22,26,15,8,22,18,10
2013-05-26,16,10,21,26,27,14,13,16,23,14,9,22,16,13
2013-06-02,14,12,17,25,24,15,12,13,25,13,8,18,15,11
2013-06-09,11,8,15,21,18,12,11,14,19,12,8,17,14,9
2013-06-16,9,6,15,18,13,10,10,10,18,12,8,15,10,8
2013-06-23,9,5,13,16,10,9,12,10,18,10,6,14,10,6
2013-06-30,8,4,12,16,11,7,10,8,17,10,6,12,9,6
2013-07-07,8,3,11,15,9,6,9,11,16,9,6,11,10,5
2013-07-14,8,6,9,14,7,6,9,8,14,7,6,13,9,5
2013-07-21,7,4,7,14,8,5,7,8,14,7,6,11,8,5
2013-07-28,7,4,7,15,6,5,6,9,13,5,5,11,9,5
2013-08-04,9,7,6,14,4,4,5,13,12,4,5,19,13,5
2013-08-11,12,6,7,18,4,4,5,13,11,4,4,22,12,6
2013-08-18,11,4,7,21,5,5,5,11,10,4,5,26,12,8
2013-08-25,11,4,7,23,4,5,5,20,9,4,4,21,14,7
2013-09-01,9,5,8,20,4,5,4,21,8,4,4,16,20,6
2013-09-08,10,7,8,21,6,6,5,20,9,4,4,15,29,6
2013-09-15,18,10,9,20,7,8,7,19,11,5,5,23,30,9
2013-09-22,29,16,12,27,10,9,8,42,13,6,5,39,25,16
2013-09-29,25,13,14,43,12,11,13,36,14,8,5,32,25,23
2013-10-06,28,13,13,53,18,16,20,40,21,8,5,41,33,20
2013-10-13,35,21,16,60,23,20,25,42,32,10,7,53,43,18
2013-10-20,29,21,18,37,20,20,20,42,27,12,7,42,48,23
2013-10-27,28,18,20,34,21,16,17,34,36,15,9,40,40,19
2013-11-03,27,10,23,28,20,18,17,39,38,17,10,37,32,24
2013-11-10,23,16,21,20,23,15,16,28,33,16,11,36,30,16
2013-11-17,25,16,20,19,23,15,15,35,39,17,13,30,26,16
2013-11-24,27,12,21,24,20,15,15,39,40,16,12,36,29,18
2013-12-01,32,16,22,28,27,19,16,43,37,16,14,35,40,21
2013-12-08,38,14,24,34,38,31,14,37,41,15,14,58,79,17
2013-12-15,44,17,31,46,48,25,15,59,40,23,15,70,132,24
2013-12-22,111,41,66,61,123,48,14,108,62,39,16,165,249,83
2013-12-29,265,80,145,174,434,132,17,309,95,48,22,348,870,265
2014-01-05,294,200,511,319,400,216,28,420,142,106,36,279,944,240
2014-01-12,349,301,1058,660,555,283,63,550,163,174,97,331,605,449
2014-01-19,387,659,1556,957,425,539,56,711,431,281,234,301,676,487
2014-01-26,363,463,550,599,237,287,53,468,525,301,382,377,410,287
2014-02-02,204,194,243,253,90,115,58,331,394,225,291,235,220,146
2014-02-09,107,63,164,170,56,56,66,164,243,165,148,126,156,62
2014-02-16,78,45,139,142,50,37,60,88,153,113,99,95,128,55
2014-02-23,54,38,93,106,43,32,60,58,105,73,70,70,108,37
2014-03-02,53,24,71,79,45,30,89,47,110,45,53,74,81,32
2014-03-09,44,30,48,54,57,30,118,51,88,36,41,52,49,26
2014-03-16,36,15,36,34,51,27,86,35,73,31,34,53,42,24
2014-03-23,33,18,38,29,34,23,58,35,61,23,27,46,38,39
2014-03-30,34,28,31,30,28,22,44,27,57,19,22,34,64,26
2014-04-06,26,22,29,33,32,18,40,20,56,16,19,32,60,16
2014-04-13,28,29,29,45,34,23,33,29,56,15,18,38,52,12
2014-04-20,23,26,24,43,36,20,30,19,41,15,16,27,40,15
2014-04-27,21,27,22,33,34,17,29,17,35,16,17,24,28,12
2014-05-04,20,28,22,29,30,16,30,25,30,15,17,25,24,9
2014-05-11,18,17,18,24,26,15,26,20,25,14,15,26,24,10
2014-05-18,18,23,16,22,26,17,27,15,21,14,13,30,30,9
2014-05-25,18,17,18,18,28,14,25,20,21,13,13,33,29,9
2014-06-01,17,14,15,15,24,14,22,19,20,13,12,30,28,8
2014-06-08,12,13,15,14,20,13,22,11,22,12,11,21,25,6
2014-06-15,8,10,14,13,19,12,18,8,23,11,10,11,23,7
2014-06-22,10,6,13,12,16,11,19,9,22,11,9,15,22,6
2014-06-29,11,7,11,10,15,11,18,8,21,9,9,16,23,6
2014-07-06,9,8,10,9,13,10,17,10,21,8,8,15,19,5
2014-07-13,9,9,10,9,11,10,15,12,20,7,8,10,18,5
2014-07-20,9,11,9,8,12,9,14,12,17,6,7,10,16,5
2014-07-27,5,1,8,8,12,9,13,12,17,6,7,9,13,5
2014-08-03,5,0,9,8,14,10,12,16,17,6,7,17,14,6
2014-08-10,4,0,8,7,13,10,13,23,16,6,8,18,15,8
2014-08-17,5,1,9,7,14,12,12,26,16,6,7,23,16,12
2014-08-24,5,1,9,8,15,17,13,16,17,6,7,31,14,12
2014-08-31,4,1,8,7,16,18,12,15,18,6,8,15,17,13
2014-09-07,4,1,8,7,16,19,10,10,17,6,8,14,17,10
2014-09-14,5,0,7,8,17,17,10,14,20,5,8,20,22,8
2014-09-21,10,1,8,9,17,16,9,36,22,5,7,36,23,10
2014-09-28,12,1,10,13,17,16,10,38,22,7,9,44,20,24
2014-10-05,18,3,20,26,30,17,13,115,36,13,11,55,37,78
2014-10-12,37,3,61,60,55,18,20,162,76,19,21,179,65,132
2014-10-19,30,2,143,109,71,19,45,70,130,26,24,108,86,73
2014-10-26,20,2,131,109,65,23,92,49,157,32,28,65,97,35
2014-11-02,15,1,101,99,43,30,70,47,98,45,26,39,73,28
2014-11-09,16,2,67,79,38,40,46,44,83,49,28,43,54,21
2014-11-16,20,2,46,62,40,33,33,71,68,53,36,59,42,24
2014-11-23,24,3,32,44,39,28,28,39,79,44,34,41,41,27
2014-11-30,40,14,26,37,40,27,23,41,71,42,30,68,55,26
2014-12-07,56,29,22,45,37,26,21,55,95,38,26,91,46,24
2014-12-14,59,62,19,45,43,27,22,48,153,42,24,93,54,30
2014-12-21,104,102,20,54,71,27,33,72,341,45,22,162,57,37
2014-12-28,219,199,25,94,254,36,44,172,645,62,26,397,66,93
2015-01-04,353,426,53,184,828,114,64,202,1086,88,38,714,124,95
2015-01-11,493,676,65,663,1197,622,89,189,832,150,63,973,373,141
2015-01-18,703,781,204,588,1186,558,130,342,532,224,146,1356,952,303
2015-01-25,1020,940,500,635,1153,592,142,637,459,262,457,2165,1274,663
2015-02-01,597,526,652,464,529,606,151,667,314,249,844,1019,1205,408
2015-02-08,486,399,648,388,384,362,144,938,281,315,771,546,734,337
2015-02-15,405,220,524,299,338,271,168,1034,293,304,530,404,657,234
2015-02-22,198,118,445,261,192,211,200,393,379,280,319,182,506,95
2015-03-01,127,71,351,181,133,148,211,212,334,320,210,139,327,60
2015-03-08,80,44,225,160,112,112,138,125,284,199,159,75,219,56
2015-03-15,59,32,139,121,97,76,115,82,223,150,111,65,134,46
2015-03-22,46,27,100,114,58,54,81,50,139,124,79,51,100,64
2015-03-29,45,28,88,94,46,46,82,54,112,96,64,64,79,53
2015-04-05,31,24,67,80,34,35,78,27,84,84,49,30,60,38
2015-04-12,27,18,49,73,40,28,63,33,59,55,37,38,49,25
2015-04-19,18,15,37,53,41,25,49,18,52,45,28,28,35,18
2015-04-26,25,19,34,45,37,26,42,31,43,40,24,37,29,12
2015-05-03,20,19,31,36,32,24,31,23,41,29,22,22,24,12
2015-05-10,18,19,29,31,23,20,26,16,30,25,20,29,20,13
2015-05-17,14,14,24,26,24,19,22,15,23,20,17,19,20,11
2015-05-24,14,9,22,22,23,19,19,15,21,16,15,24,17,11
2015-05-31,12,10,20,17,19,17,17,15,22,14,14,15,16,9
2015-06-07,10,9,18,16,16,15,15,17,20,13,13,14,15,8
2015-06-14,8,8,15,13,15,13,12,11,17,11,12,12,14,7
2015-06-21,8,6,13,11,14,12,11,9,17,10,11,15,12,6
2015-06-28,7,5,12,10,12,12,10,7,15,9,10,9,12,6
2015-07-05,6,4,11,8,11,10,8,8,17,8,9,10,11,6
2015-07-12,6,3,10,8,11,9,7,8,16,7,8,10,9,6
2015-07-19,7,3,9,7,11,8,7,9,14,5,7,13,9,5
2015-07-26,7,4,9,7,10,7,5,7,13,5,7,13,8,5
2015-08-02,6,6,8,7,9,7,5,7,12,5,7,10,8,5
2015-08-09,7,7,7,6,8,6,5,7,11,5,7,11,7,5
