Date,Spain,Andalucía,Aragón,Principado de Asturias,Castilla y León,Castilla-La Mancha,Canarias,Catalunya,Galicia,Illes Balears,Región de Murcia,Comunidad de Madrid,País Vasco,Comunidad Valenciana
2005-10-16,41,46,34,69,19,40,29,31,43,38,37,37,73,30
2005-10-23,38,56,48,62,23,30,21,49,78,45,33,34,86,25
2005-10-30,29,27,65,64,33,28,27,25,57,33,29,27,67,23
2005-11-06,28,27,61,65,31,25,30,32,58,32,22,24,53,21
2005-11-13,33,17,89,64,41,26,39,28,57,28,20,28,54,15
2005-11-20,35,12,83,52,71,28,31,29,49,36,29,35,63,30
2005-11-27,30,13,65,70,58,27,32,27,41,30,27,25,82,27
2005-12-04,24,12,44,100,78,26,30,17,49,28,22,24,87,26
2005-12-11,25,8,32,78,77,26,47,30,36,26,20,26,59,27
2005-12-18,20,9,28,72,65,22,37,23,30,23,18,26,49,27
2005-12-25,26,10,24,68,56,22,35,25,30,21,19,32,45,36
2006-01-01,23,15,24,48,62,33,29,54,33,17,26,23,32,40
2006-01-08,34,21,29,45,71,31,30,43,23,16,25,34,36,19
2006-01-15,26,31,45,40,55,35,30,15,19,15,22,25,44,33
2006-01-22,32,15,55,65,56,27,25,36,26,23,18,25,30,32
2006-01-29,25,21,44,78,46,26,29,20,40,26,14,25,29,23
2006-02-05,46,25,46,157,51,20,33,41,81,29,14,51,30,23
2006-02-12,41,39,46,250,66,24,38,48,74,45,12,46,32,20
2006-02-19,59,55,64,177,57,27,54,59,92,56,11,66,99,27
2006-02-26,87,66,85,238,83,47,63,41,230,43,14,112,223,72
2006-03-05,136,86,142,501,120,79,116,127,442,28,16,155,330,89
2006-03-12,132,101,194,388,151,125,119,113,319,32,21,143,353,130
2006-03-19,114,40,791,176,183,121,132,142,246,47,66,103,381,85
2006-03-26,98,125,342,157,149,122,183,79,215,66,64,79,180,112
2006-04-02,51,64,162,113,164,96,189,76,146,111,48,32,103,71
2006-04-09,37,37,112,88,169,73,202,17,150,121,76,29,76,60
2006-04-16,33,31,63,73,179,68,103,21,105,105,71,34,46,26
2006-04-23,31,26,38,90,163,51,79,30,74,61,45,29,41,55
2006-04-30,29,37,23,92,145,43,56,29,44,78,38,23,33,29
2006-05-07,25,40,23,117,103,38,52,27,30,51,26,21,22,17
2006-05-14,23,23,29,75,79,27,38,35,28,50,25,20,17,20
2006-05-21,24,18,35,67,68,18,28,26,23,69,20,21,19,26
2006-05-28,19,26,22,53,120,15,25,25,35,63,15,17,15,22
2006-06-04,20,19,21,40,95,12,24,18,48,99,12,21,11,13
2006-06-11,20,11,23,54,74,11,20,19,54,80,9,23,12,11
2006-06-18,18,14,18,50,64,10,18,23,48,55,10,10,12,15
2006-06-25,17,26,14,41,79,11,21,19,30,33,11,13,19,16
2006-07-02,13,19,11,39,70,14,22,12,27,29,12,13,17,11
2006-07-09,10,19,10,45,58,15,28,7,21,28,9,7,14,6
2006-07-16,19,27,10,36,47,14,35,11,27,25,9,11,19,10
2006-07-23,14,18,8,25,43,12,37,21,40,19,8,11,17,13
